model_name,callsign,measure,order,aic,p,d,q
gaylord_mi-tmin,"Gaylord, MI",tmin,"1, 1, 2",1961.9445934966377,1,1,2
gaylord_mi-tmax,"Gaylord, MI",tmax,"0, 1, 3",2095.164289930154,0,1,3
gaylord_mi-prcp,"Gaylord, MI",prcp,"3, 0, 3",2315.901766582023,3,0,3
gaylord_mi-snow,"Gaylord, MI",snow,"1, 1, 1",3794.3487802903023,1,1,1
gaylord_mi-wdir,"Gaylord, MI",wdir,"2, 1, 2",4302.512454672361,2,1,2
gaylord_mi-wspd,"Gaylord, MI",wspd,"2, 1, 3",2181.1774480612153,2,1,3
gaylord_mi-pres,"Gaylord, MI",pres,"2, 0, 0",2320.7705349595453,2,0,0
glasgow_mt-tavg,"Glasgow, MT",tavg,"1, 1, 2",2128.065211330745,1,1,2
glasgow_mt-tmin,"Glasgow, MT",tmin,"2, 1, 2",2104.1728711393253,2,1,2
glasgow_mt-tmax,"Glasgow, MT",tmax,"2, 1, 2",2345.205586337798,2,1,2
glasgow_mt-prcp,"Glasgow, MT",prcp,"2, 0, 0",1469.4913458172991,2,0,0
glasgow_mt-snow,"Glasgow, MT",snow,"2, 1, 2",2727.240739007697,2,1,2
glasgow_mt-wdir,"Glasgow, MT",wdir,"0, 1, 2",4454.767825851368,0,1,2
glasgow_mt-wspd,"Glasgow, MT",wspd,"1, 0, 0",2429.8120663912323,1,0,0
glasgow_mt-pres,"Glasgow, MT",pres,"0, 1, 2",2387.7712607532235,0,1,2
goodland_ks-tavg,"Goodland, KS",tavg,"1, 1, 2",2027.2851760908381,1,1,2
goodland_ks-tmin,"Goodland, KS",tmin,"2, 1, 3",1954.662728312765,2,1,3
goodland_ks-tmax,"Goodland, KS",tmax,"2, 1, 2",2321.3776609890165,2,1,2
goodland_ks-prcp,"Goodland, KS",prcp,"2, 1, 2",1803.610087430382,2,1,2
goodland_ks-snow,"Goodland, KS",snow,"2, 1, 3",2981.6091653221824,2,1,3
goodland_ks-wdir,"Goodland, KS",wdir,"1, 1, 1",4326.795874834036,1,1,1
goodland_ks-wspd,"Goodland, KS",wspd,"3, 1, 3",2374.1172504047063,3,1,3
goodland_ks-pres,"Goodland, KS",pres,"1, 1, 3",2304.4988140111154,1,1,3
grand forks_nd-tavg,"Grand Forks, ND",tavg,"3, 1, 3",2053.569791555263,3,1,3
grand forks_nd-tmin,"Grand Forks, ND",tmin,"2, 1, 2",2114.5499378691165,2,1,2
grand forks_nd-tmax,"Grand Forks, ND",tmax,"0, 1, 2",2244.216756295211,0,1,2
grand forks_nd-prcp,"Grand Forks, ND",prcp,"2, 0, 2",2146.188585084172,2,0,2
grand forks_nd-wdir,"Grand Forks, ND",wdir,"0, 1, 1",4419.050876619547,0,1,1
grand forks_nd-wspd,"Grand Forks, ND",wspd,"2, 1, 2",2465.929683665032,2,1,2
grand forks_nd-pres,"Grand Forks, ND",pres,"3, 1, 3",2410.7380943243825,3,1,3
grand junction_co-tavg,"Grand Junction, CO",tavg,"2, 1, 3",1674.9527613664604,2,1,3
grand junction_co-tmin,"Grand Junction, CO",tmin,"2, 1, 2",1794.609308899646,2,1,2
grand junction_co-tmax,"Grand Junction, CO",tmax,"3, 1, 3",1908.5988975637074,3,1,3
grand junction_co-prcp,"Grand Junction, CO",prcp,"0, 0, 1",1736.5639383380408,0,0,1
grand junction_co-snow,"Grand Junction, CO",snow,"3, 0, 3",2373.4146924265806,3,0,3
grand junction_co-wdir,"Grand Junction, CO",wdir,"2, 1, 3",4406.390578989662,2,1,3
grand junction_co-wspd,"Grand Junction, CO",wspd,"1, 1, 1",2020.9498708246738,1,1,1
grand junction_co-pres,"Grand Junction, CO",pres,"2, 1, 3",2166.293596530374,2,1,3
gray_me-tavg,"Gray, ME",tavg,"3, 1, 1",1950.1507944675218,3,1,1
gray_me-tmin,"Gray, ME",tmin,"2, 1, 1",1905.2159066806335,2,1,1
gray_me-tmax,"Gray, ME",tmax,"2, 1, 1",2131.378282779585,2,1,1
